PERSONAJE;CITA;ESCENA
Max Estrella;"Vuelve a leerme la carta del buey Apis";Escena primera
Max Estrella;"¡Mal Polonia recibe a un extranjero!";Escena segunda
Max Estrella;"España, en su concepción religiosa, es una tribu del Centro de África.";Escena segunda
Max Estrella;"La miseria del pueblo español, la gran miseria moral, está en su chabacana sensibilidad ante los enigmas de la vida y de la muerte.";Escena segunda
Max Estrella;"Este pueblo miserable transforma todos los grandes conceptos en un cuento de beatas costureras. Su religión es una chochez de viejas que disecan al gato cuando se les muere.";Escena segunda
Max Estrella;"¿Y desde cuándo titula esa golfa?";Escena tercera
Max Estrella;"¡Señor Centurión, yo también chanelo el sermo vulgaris!";Escena cuarta
Max Estrella;"¡Las letras son colorín, pingajo y hambre!";Escena octava
Max Estrella;"La tragedia nuestra no es tragedia.";Escena duodécima
Max Estrella;"España es una deformación grotesca de la civilización europea.";Escena duodécima
Don Latino;"¡Todo en tu boca es canción, Claudinita!";Escena primera
Don Latino;"Aquí sólo hablan los genios.";Escena cuarta
Don Latino;"¡La verdad es que tienes una fisonomía algo rara!";Escena duodécima
Don Latino;"Pero a mí me divierte mirarme en los espejos de la calle del Gato.";Escena duodécima
Don Latino;"¡Eres genial! ¡Me quito el cráneo!";Escena duodécima
Don Latino;"¡En España es un delito el talento!";Escena decimatercia
Don Latino;"¡Un esperpento!";Escena última
